smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R
CCCCCC(C)S,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,272.89000000000004,0.3735,0.50105,0.7341500000000001,0.9712,1.2422,-4.22001475037146,1206.938145190296
CCCCCC(C)O,423.34999999999997,391.84999999999997,365.45,333.25,303.15,0.3047,0.46,0.702,1.376,3.321,-7.254317659403359,2538.935079452733
CCCCCC(C)=O,353.15,328.0738153283559,310.6298808948977,300.6292117079661,293.15,0.285,0.371,0.524,0.6659999999999999,0.835,-6.590598301012179,1857.126281188391
CCCCCCCCCCCCCCC(C)OC(C)=O,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,1.2398,2.07785,4.57715,8.8842,16.3961,-6.7909320058469,2583.544138847472
CCCCC(C)S,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.15000000000003,0.3129,0.4088,0.5831,0.74945,0.9309,-4.126732256478878,1105.828624182399
OCC(=O)c1ccccc1,486.15,451.0081403081014,423.1499999999999,373.9354289150187,321.15,0.3148,0.4054,0.502,0.8355,1.816,-4.440791465600289,1593.453534278018
CC(C)I,361.87,334.321867364486,309.67599134730256,292.77684828822674,273.45,0.361,0.4575,0.5780000000000001,0.6930000000000001,0.875,-3.718889095824484,981.3251580588814
COc1ccccc1O,478.15000000000003,447.6360676792495,418.1925941422595,375.3246238849687,320.34999999999997,0.3325,0.41785,0.5488,0.9201999999999999,2.617,-5.028561734666615,1861.177474035708
Cc1ccccc1N,471.84999999999997,429.69710912052113,373.1499999999999,328.12534277879337,273.81,0.316,0.45335,0.8379,1.7486,10.1056,-5.352390884612216,1954.48115842844
Cc1ccccc1C#N,413.1499999999999,373.1499999999999,333.15,313.15,293.15,0.421,0.594,0.928,1.233,1.755,-4.343849042490163,1428.867148183514
CCC(C)C,299.53,294.18,288.15,279.55,273.1580000000001,0.2102,0.2212,0.234,0.2547,0.274,-4.229728762478508,800.1111189551256
CC1CCCCC1=O,339.05,312.25,303.15,290.4549,288.15509999999995,0.8379,1.2167,1.406,1.8222,1.845,-4.722913793424742,1541.615564505502
CCCCCCC(C)(C)S,323.15,313.15,303.15,293.15,283.15,0.767,0.914,1.07,1.308,1.616,-5.522305042616564,1698.426233031312
CCCC(C)C,328.58000000000004,316.3603211378902,301.85544138593525,285.88305206274816,273.76,0.2151,0.24025,0.27555,0.32315,0.3688,-4.222213218255833,884.3009943402591
CC(C)C(O)=O,420.62,388.44442854385187,352.20601376179326,308.93906561408056,276.84,0.323,0.4285,0.617,1.041,1.761,-4.32844153510577,1350.187010873272
CCC(C)CO,396.15,367.8279083990215,343.65,321.9691847826087,292.45,0.414,0.6785,1.149,2.051,5.505,-8.122910821509747,2848.219919212994
