SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
C=C[Si](OC)(OC)OC,442.96,0.103601042,-2.267207887,-2.779582042,13,2.42256637168142,-2.30869895311292,-0.593129537853519,634,,,
[Si](OC)(OC)(OC)CCCS,200,0.2073602,-1.573297901,-2.542520263,test,5.3655,-1.51495099839927,1.7302717057644,1077,,,
[Si](OC)(OC)(OC)CCCS,271.7875,0.185876078,-1.682675072,-2.542520263,test,3.9483052016741,-1.51495099839927,1.3640468923852,473,,,
[Si](OC)(OC)(OC)CCCS,343.575,0.164829021,-1.802846582,-2.542520263,test,3.12333551626282,-1.51495099839927,0.961679666931495,461,,,
[Si](OC)(OC)(OC)CCCS,415.3625,0.144219026,-1.936422119,-2.542520263,test,2.58352643775016,-1.51495099839927,0.514432077122733,267,,,
[Si](OC)(OC)(OC)CCCS,487.15,0.124046096,-2.087102042,-2.542520263,test,2.20281227547983,-1.51495099839927,0.00991430457340941,1032,,,
CC(C)C[Al](CC(C)C)CC(C)C,277.45,0.100417315,-2.298420625,-3.323260999,15,3.86772391421878,-4.12908544460044,-0.697638358520526,957,,,
CC(C)C[Al](CC(C)C)CC(C)C,333.8375,0.092770541,-2.37762614,-3.323260999,15,3.21443816227955,-4.12908544460044,-0.962840179744061,1165,,,
CC(C)C[Al](CC(C)C)CC(C)C,390.225,0.084577087,-2.470091889,-3.323260999,15,2.74995195079762,-4.12908544460044,-1.27244090686007,656,,,
CC(C)C[Al](CC(C)C)CC(C)C,446.6125,0.075836954,-2.579169583,-3.323260999,15,2.40275406532509,-4.12908544460044,-1.63766298897978,290,,,
CC(C)C[Al](CC(C)C)CC(C)C,503,0.066550142,-2.709799596,-3.323260999,15,2.13339960238569,-4.12908544460044,-2.07504815532904,817,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),338.9,0.124021667,-2.087298995,-3.501473487,16,3.16642077308941,-4.72578980770416,0.00925485182828995,422,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),429.125,0.109137249,-2.215149026,-3.501473487,16,2.50066996795805,-4.72578980770416,-0.418822171150293,881,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),519.35,0.094252831,-2.361774421,-3.501473487,16,2.06623664195629,-4.72578980770416,-0.909764270215239,293,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),609.575,0.079368412,-2.53365482,-3.501473487,16,1.76040684083173,-4.72578980770416,-1.48526705998219,799,,,
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),699.8,0.064483994,-2.741338241,-3.501473487,16,1.53343812517862,-4.72578980770416,-2.18064820215561,212,,,
FC(CC[Si](Cl)(Cl)C)(F)F,204.7,0.128144584,-2.05459609,-3.191194338,17,5.24230581338544,-3.6868899861136,0.118753160946035,391,,,
