smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B),,smiles,Temp
c1cc(c(cc1C)/C(=C/CCCCCCCCC)/CCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,7.72560209148893,4.68825096669901,3.35455297402958,2.43724411230377,1.63728533747821,-3.91699203049141,1618.56825402225,,CCCCCCCCC(CCCCCCCC)CCCCCCCC,
c1ccc(cc1)CCCC(CCCc1ccccc1)CCCc1ccccc1,273.15,298.15,310.928,333.15,372.039,11.5490235424916,7.11313363596046,4.50299457367327,3.01045287878689,1.88736570257541,-4.58975187923988,1921.97980154424,,CCCCCCCCC(CCCCCCCC)CCCCCCCC,
c1c2c(c(cc1)C(CCCCCCCCCC)CCCCCCCCCC)CCCC2,273.15,298.15,310.928,333.15,372.039,13.3795710976992,7.41147496830758,4.93186207677957,3.32838871346784,2.04794678570975,-4.62328805352385,1961.48320871162,,CCCCCCCCC(CCCCCCCC)CCCCCCCC,
C1[C@H]2[C@@H](CCC1)[C@@H](CCC2)CCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.99777523457562,4.7486860634899,3.4445356278815,2.53794868514277,1.7306762989046,-3.44070746140413,1471.26780154869,,CCCCCCCCC(CCCCCCCC)CCCCCCCC,
[C@@H]12[C@H]3[C@@H]([C@@H](C[C@@H]1CCC2)C(CCCCCCCC)CCCCCCCC)CCC3,273.15,298.15,310.928,333.15,372.039,15.9992481840825,8.34140322945207,5.36199995017108,3.52230584301774,2.11037915962753,-5.02086430786709,2115.69561490073,,CCCCCCCC=C(CCCCCCCC)CCCCCCCC,
[C@H]1([C@H]2[C@@H](CC1)CCC2)CC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.68000472158959,4.6649592024436,3.32657439202276,2.4054014215211,1.60979479900651,-3.96758802471749,1631.35789567861,,CCCCCCCC=C(CCCCCCCC)CCCCCCCC,
c1c2c(cc3c1CCCC3)c(c1c(c2)cccc1)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,122.736623913283,49.0952241406259,18.5938191116236,8.38237600617015,3.53239528349075,-9.06393056453226,3789.67536757583,,CCCCCCCC=C(CCCCCCCC)CCCCCCCC,
[C@@H]12[C@@H]3[C@H]([C@@H]([C@@H](C1)CC(CCCCCCCC)CCCCCCCC)C2)CCC3,273.15,298.15,310.928,333.15,372.039,11.0633206406745,6.29285707588238,4.28185988231861,2.95924324429105,1.87669365467289,-4.41820805223684,1853.11390954742,,CCCCCCCC=C(CCCCCCCC)CCCCCCCC,
[C@H](CCCC[C@@H](CC[C@H](CC(C)(C)C)C)CC[C@H](CC(C)(C)C)C)(CC[C@H](CC(C)(C)C)C)CC[C@@H](CC(C)(C)C)C,273.15,298.15,310.928,333.15,372.039,29.975047133817,13.0392873877056,7.51913217852481,4.52919858122318,2.50211844926445,-6.17068949916883,2592.02419456944,,CCCCCCCC=C(CCCCCCCC)CCCCCCCC,
C(=C\C[C@@H](CC(C)(C)C)C)(\CC[C@@H](CC(C)(C)C)C)/CC[C@H](CC(C)(C)C)C,273.15,298.15,310.928,333.15,372.039,8.03255468401949,4.57982604109955,3.1943000981975,2.29245971702435,1.53737290759024,-4.27745703565226,1721.8758188585,,CCCCCCCCCCC(CCCCCCCCCC)CCCCC,
C(CC[C@H](CC(C)(C)C)C)(CC[C@H](CC(C)(C)C)C)CC[C@H](CC(C)(C)C)C,273.15,298.15,310.928,333.15,372.039,10.3569613831627,5.45737355829575,3.63129361493156,2.50303878954914,1.61469042013147,-4.81880381168934,1935.51969203681,,CCCCCCCCCCC(CCCCCCCCCC)CCCCC,
CCCCCCCCC(CCCCCCCCCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.10620420460999,4.22253967651056,3.15086281306573,2.36367635539166,1.64002424490463,-3.24891204901293,1381.65210477134,,CCCCCCCCCCC(CCCCCCCCCC)CCCCC,
[C@H]1([C@@H](CC[C@@H]1C1CCCC1)C1CCCC1)CCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,10.7305625933279,6.03230376162051,4.10604610584806,2.88511112640054,1.84301835457246,-4.39366574910725,1835.46767567554,,CCCCCCCCCCC(CCCCCCCCCC)CCCCC,
CCCCCCCCCCCCCCCC(C1CCCC1)C1CCCC1,273.15,298.15,310.928,333.15,372.039,6.45827225100824,4.42379041447764,3.22850379781648,2.39303908797468,1.64865839889622,-3.40126394626332,1438.57885851431,,CCCCCCCCCCC(CCCCCCCCCC)CCCCC,
c1cc(cc(c1)CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.11280447391994,3.48754607102896,2.67425646007611,2.06610803317265,1.48771975355783,-3.10837333705319,1289.47591122011,,CCCCCCC(CCCCCCCCCCCCC)CCCCCC,
CCCCCCCC[C@](CCCCCCCCC)(CC)CCCCCCC,273.15,298.15,310.928,333.15,372.039,6.56370893614916,4.16279126005632,3.31110032336472,2.23126457405527,1.52164286909316,-3.73624377979092,1533.13338476956,,CCCCCCC(CCCCCCCCCCCCC)CCCCCC,
CCCCCCCCC[C@](CCCCCCCCCC)(CCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,9.18661077318567,5.64278912277672,4.01150340236704,2.87196326834046,1.8690220985904,-3.89350405543611,1663.56855521863,,CCCCCCC(CCCCCCCCCCCCC)CCCCCC,
[C@H]12[C@H]3[C@H]4[C@H](CC1)CCC[C@@H]4[C@H](C[C@@H]3CCC2)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,18.7339546815869,8.99056941367459,5.59464905595211,3.58311293650313,2.15586915328278,-5.40671049499275,2256.5740688647,,CCCCCCC(CCCCCCCCCCCCC)CCCCCC,
CC(CCC[C@@H](CCC[C@@H](CCCC[C@H](CCC[C@H](CCCC(C)C)C)C)C)C)C,273.15,298.15,310.928,333.15,372.039,7.92512320969971,4.76179107890589,3.39463432825762,2.44525606319918,1.6581333926248,-3.95247681762374,1634.03856915526,,CCCCCCC(CCCCCCCCCCCCC)CCCCCC,
C1CCC2(C[C@@H]1CCCCCCCCCCCCCCCC)CCCC2,273.15,298.15,310.928,333.15,372.039,6.24542441950586,4.34589943764562,3.2557173416465,2.45687362103654,1.71356112416145,-3.14361794755112,1359.04885019528,,CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,
C1[C@H]2[C@@H](CCC1)C[C@@H]1[C@@H]2C[C@@H]2CC[C@@H](C[C@H]12)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,15.6638592429453,8.21967650624591,5.38629198841934,3.57155570315859,2.20526548710325,-4.79720880786152,2047.11974142236,,CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,
CCCCCCC(CCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,2.99177379350347,2.15427172132616,1.72620495170229,1.38729933726168,1.04554654722502,-2.93475766935049,1096.3651361053,,CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,
c1ccc(cc1)C(=CCCCCC)c1ccccc1,273.15,298.15,310.928,333.15,372.039,6.34126872045632,3.58969532384399,2.54194654246359,1.8682526850258,1.30319354227404,-4.24351959437479,1643.48609556801,,CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,
c1ccc(cc1)C(CCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,3.87553824058156,2.61603116993756,2.00572725405532,1.55680637251328,1.1347996476211,-3.3650091202614,1281.75592002774,,CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,
c1ccc(cc1)C(c1ccccc1)CCCCCC,273.15,298.15,310.928,333.15,372.039,4.88653697965356,3.39904986454012,2.46131257433853,1.83042839039761,1.28706896683149,-3.58021396478349,1411.28354255098,,c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,
C1CCC(CC1)C(CCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,4.40621665611874,2.89926712410029,2.18655942359347,1.67377018061358,1.200454101749,-3.51475770177892,1356.80794519046,,c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,
C1CCC(CC1)C(CCCCCC)C1CCCCC1,273.15,298.15,310.928,333.15,372.039,8.17335079602168,5.18777906765732,3.39816735512244,2.32647185884557,1.50391286130516,-4.47344937019931,1795.77782212998,,c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,
c1ccc(cc1)/C(=C/CCCCC)/CCCCCC,273.15,298.15,310.928,333.15,372.039,3.43671915923635,2.38899289685436,1.86979109979306,1.48512823833242,1.10786385439586,-3.11251951877842,1180.33219722047,,c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,
C1CCC(CC1)C(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.59925706812458,3.59953952800551,2.66252560420208,1.99127603184259,1.3921084474046,-3.62893194741069,1453.88887354451,,c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,
CCCC(CCCCCCCCCCCCC)CCC,273.15,298.15,310.928,333.15,372.039,2.98926376402782,2.2622816615488,1.79784244568639,1.44337334688619,1.09638507295144,-2.77159002955945,1056.16649602249,,CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,
CCCCC(CCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,3.23415867034124,2.30377217987239,1.82746125780795,1.46047419680142,1.09907743081655,-2.9702465431264,1126.56336945143,,CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,
CCCCCCC(CCCCCC)C,273.15,298.15,310.928,333.15,372.039,1.74673397048251,1.40389797282171,1.19839789921373,1.02772704132751,0.826539456942971,-2.30186545723029,780.376056111226,,CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,
C1CCC(CC1)[C@@H](C)CCCCCC,273.15,298.15,310.928,333.15,372.039,2.29157516970691,1.76031651309806,1.46444464732404,1.22344442468746,0.959227249098385,-2.50457760329023,908.195889497992,,CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,
c1ccc(cc1)[C@@H](C1CCCCC1)C,273.15,298.15,310.928,333.15,372.039,3.33201349687103,2.30932837858899,1.81152943305982,1.45142205113846,1.09792461618611,-3.06189632762792,1156.36368326121,,CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,
