,T1,T2,T3,T4,T5
203,124.86,168.4225,211.985,255.5475,299.11
204,135.89,181.42,226.95,272.48,318.01
205,295.15,381.15,467.15,553.15,639.15
206,269.42,337.46750000000003,405.515,473.5625,541.61
207,263.0,331.5,400.0,468.5,537.0
208,286.0,348.68,411.36,474.04,536.72
209,244.15,315.4875,386.825,458.1625,529.5
210,249.9,312.425,374.95,437.475,500.0
211,298.0,330.48,362.96000000000004,395.44,427.92
212,265.8,329.35,392.9,456.45,520.0
213,235.0,300.5,366.0,431.5,497.0
214,243.15,319.15,395.15,471.15,547.15
215,223.0,274.0375,325.075,376.11249999999995,427.15
216,276.79,336.755,396.72,456.685,516.65
217,191.15,229.025,266.9,304.775,342.65
218,224.0,258.2875,292.575,326.86249999999995,361.15
219,271.85,332.38750000000005,392.925,453.4625,514.0
220,239.75,288.6,337.45,386.29999999999995,435.15
221,286.53,371.1475,455.765,540.3824999999999,625.0
222,193.55,245.0,296.45000000000005,347.90000000000003,399.35
223,237.15,312.25,387.34999999999997,462.45,537.55
224,273.37,333.22749999999996,393.085,452.9425,512.8
225,234.05,321.7875,409.525,497.2625,585.0
226,234.65,306.38750000000005,378.125,449.86250000000007,521.6
227,179.37,233.38,287.39,341.40000000000003,395.41
228,163.15,221.475,279.8,338.125,396.45
229,185.45,238.625,291.79999999999995,344.97499999999997,398.15
230,154.45,214.76,275.07,335.38,395.69
231,147.15,209.375,271.6,333.82500000000005,396.05
232,253.41,333.345,413.28,493.21500000000003,573.15
233,241.55,294.3875,347.225,400.0625,452.9
234,257.65,335.775,413.9,492.025,570.15
235,289.65,345.45,401.25,457.05,512.85
236,223.95,286.01,348.07,410.13,472.19
237,251.65,300.025,348.4,396.775,445.15
238,248.25,295.225,342.2,389.17499999999995,436.15
239,255.55,301.825,348.1,394.375,440.65
240,290.73,330.08500000000004,369.44,408.79499999999996,448.15
241,290.76,365.0625,439.365,513.6675,587.97
242,251.1,282.4375,313.775,345.11249999999995,376.45
243,284.65,371.34749999999997,458.045,544.7425000000001,631.44
244,279.15,358.6375,438.125,517.6125,597.1
245,281.15,370.65,460.15,549.65,639.15
246,249.0,325.55,402.1,478.65000000000003,555.2
247,273.15,337.4625,401.775,466.0875,530.4
248,240.0,330.7875,421.575,512.3625,603.15
249,247.15,317.5625,387.97499999999997,458.3875,528.8
250,246.94,315.3525,383.765,452.1775,520.59
251,183.15,225.4375,267.725,310.01250000000005,352.3
252,216.91,259.155,301.4,343.645,385.89
253,276.82,312.24,347.65999999999997,383.08,418.5
254,255.01,295.58,336.15,376.72,417.29
255,206.44,260.6175,314.79499999999996,368.97249999999997,423.15
256,192.5,249.4875,306.475,363.4625,420.45
257,219.65,278.65,337.65,396.65,455.65
258,204.3,265.8875,327.475,389.0625,450.65
259,250.0,271.79,293.58000000000004,315.37,337.16
260,199.8,246.0875,292.375,338.6625,384.95
261,223.15,262.275,301.4,340.525,379.65
262,240.4,319.48,398.56,477.64000000000004,556.72
263,208.0,273.6,339.2,404.79999999999995,470.4
264,212.7,246.8125,280.92499999999995,315.03749999999997,349.15
265,137.15,191.0975,245.04500000000002,298.9925,352.94
266,161.22,217.365,273.51,329.655,385.8
267,193.05,248.9,304.75,360.6,416.45
268,240.1,306.755,373.41,440.065,506.72
269,240.1,306.41499999999996,372.73,439.04499999999996,505.36
270,189.0,239.2875,289.575,339.86249999999995,390.15
271,198.5,258.9125,319.325,379.73749999999995,440.15
