T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-1.876987983,-1.86491852750419,-1.972783184,-2.04571170979663,-2.078736824,-2.15424571728672,-2.197261759,-1.876987983,-2.331747832,-2.27833801947407
-1.589336278,-1.52385550119632,-1.680762722,-1.73475203516738,-1.781396843,-1.86188357026406,-1.893303126,-1.589336278,-2.019329089,-2.00772523422766
-1.798919287,-1.84886055567194,-1.849883618,-1.99993127173011,-1.90452063,-2.10497020007102,-1.963620275,-1.798919287,-2.028370113,-2.24145563125088
-1.967928046,-1.8452715889157,-2.045147282,-1.95577259865856,-2.128832075,-2.03649577080822,-2.220164906,-1.967928046,-2.320685603,-2.14653503749894
-1.813064662,-1.7296884535541,-1.929270656,-1.98479846743885,-2.060778073,-2.13854279212446,-2.212236474,-1.813064662,-2.390800977,-2.31487753615393
-1.655911262,-1.71864400629436,-1.7442301,-1.88646285908001,-1.841111491,-2.00195143502652,-1.948395736,-1.655911262,-2.068588648,-2.15057160933555
-1.962125499,-2.0002024121315,-2.020862459,-2.0784410420726,-2.083265929,-2.14079120749967,-2.149824311,-1.962125499,-2.221130602,-2.2339175140344
-1.719949542,-1.95265873441922,-1.790875784,-2.07754678221185,-1.867219224,-2.16594021471977,-1.949876308,-1.719949542,-2.039986241,-2.28275938937697
-2.048105396,-2.17492953077313,-2.095075414,-2.23446603853488,-2.144360814,-2.28449104064425,-2.19620176,-2.048105396,-2.250877835,-2.36386770059817
-1.902147736,-1.9440793272701,-1.959719678,-2.05782254308672,-2.020809724,-2.14654043365712,-2.085875987,-1.902147736,-2.155472334,-2.27597851197202
-1.628295016,-1.59198512475514,-1.789520558,-1.85066225645877,-1.967269517,-1.9936193538298,-2.159318397,-1.628295016,-2.352940558,-2.14697604477575
-2.214217382,-2.12900085837274,-2.310318968,-2.29787548786422,-2.412919771,-2.40043698183472,-2.523100881,-2.214217382,-2.642251543,-2.5188058328362
-1.667107323,-1.72718783261917,-1.748348674,-1.85084249808095,-1.836778484,-1.93795906502998,-1.933793444,-1.667107323,-2.041241534,-2.0525824438569
-1.43724209,-1.49630249307338,-1.531605015,-1.65365767996515,-1.635808992,-1.75307880966768,-1.752148232,-1.43724209,-1.883826374,-1.87165890467442
-1.69537399,-1.62760773808484,-1.79863971,-1.82742716224334,-1.913810407,-1.94688089019406,-2.043993074,-1.69537399,-2.19369616,-2.08299917595633
-1.115420987,-1.33635085696361,-1.209984002,-1.53298514761915,-1.314432074,-1.65131904368314,-1.431075725,-1.115420987,-1.5631441,-1.78688348439861
-1.81029401,-1.8669809196043,-1.876803934,-1.9747886016217,-1.948054607,-2.05237527849285,-2.024774085,-1.81029401,-2.107872194,-2.15658619172315
-1.985504814,-2.03716220574589,-2.049930337,-2.11035402116735,-2.118794083,-2.16747839269498,-2.192753085,-1.985504814,-2.272622023,-2.2508782296385
-2.060155338,-1.95837988879351,-2.164171409,-2.1539674956029,-2.280276427,-2.27958831903152,-2.411654498,-2.060155338,-2.562941275,-2.43153621370584
-1.948979788,-1.95331465324398,-2.100858588,-2.19488812363407,-2.266595832,-2.34060814015007,-2.443627524,-1.948979788,-2.620888555,-2.50786367656832
-1.728226426,-1.66335727873721,-1.751485004,-1.68340773319194,-1.775297451,-1.70229776395533,-1.799690791,-1.728226426,-1.824694076,-1.73697788393166
-2.014091863,-1.89880664509941,-2.092756866,-2.00906890972382,-2.17814249,-2.08873853331553,-2.271505249,-2.014091863,-2.374490722,-2.1961667326602
-1.464379153,-1.47639063059177,-1.583073615,-1.67732315634676,-1.717778063,-1.79390126193298,-1.87349496,-1.464379153,-2.05801335,-1.92364712515774
