smiles,temperature,conductivity,splits
c1(C)c(N=C=O)cccc1(N=C=O),0.002864611,-2.145317875,val
c1(C)c(N=C=O)cccc1(N=C=O),0.002458664,-2.231993367,val
c1(C)c(N=C=O)cccc1(N=C=O),0.00215349,-2.326900634,val
c1(C)c(N=C=O)cccc1(N=C=O),0.001915709,-2.431768921,val
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.003483835,-1.904054238,train
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.002887524,-1.990711729,train
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.002465514,-2.08559741,train
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.002151127,-2.19043925,train
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.001907851,-2.307574419,train
c1cc(C)ccc1C=O,0.003745318,-1.856120982,val
c1cc(C)ccc1C=O,0.003121586,-1.930885408,val
c1cc(C)ccc1C=O,0.002675943,-2.011694449,val
c1cc(C)ccc1C=O,0.002341646,-2.099612331,val
c1cc(C)ccc1C=O,0.002081599,-2.196011404,val
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.004015258,-1.907657645,val
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.003459759,-1.934064922,val
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.003039283,-1.961188501,val
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.002709935,-1.989068329,val
[Ti+4].[Cl-].[Cl-].[Cl-].[Cl-],0.002444988,-2.017747788,val
S1C=CC=C1,0.004256406,-1.841015556,test
S1C=CC=C1,0.003766017,-1.880399554,test
S1C=CC=C1,0.003376952,-1.921398402,test
S1C=CC=C1,0.003060748,-1.964150355,test
S1C=CC=C1,0.00279869,-2.008811984,test
ClS(=O)Cl,0.00592944,-1.75238048,train
ClS(=O)Cl,0.004680005,-1.823733597,train
ClS(=O)Cl,0.003865481,-1.900571869,train
ClS(=O)Cl,0.003292452,-1.983809377,train
ClS(=O)Cl,0.002867384,-2.074609634,train
OCCSCCO,0.003803004,-1.530813811,train
OCCSCCO,0.00297619,-1.634364002,train
OCCSCCO,0.002444689,-1.749888732,train
OCCSCCO,0.002074258,-1.880523997,train
OCCSCCO,0.001801315,-2.03082625,train
S1CC1,0.006091989,-1.936039138,train
S1CC1,0.004874898,-2.003255393,train
S1CC1,0.004063141,-2.075317418,train
S1CC1,0.003483137,-2.152978379,train
S1CC1,0.003048037,-2.237182352,train
S1CCCC1,0.005650356,-1.792218675,train
S1CCCC1,0.004323343,-1.863913797,train
S1CCCC1,0.003501094,-1.941148922,train
S1CCCC1,0.002941631,-2.024852301,train
S1CCCC1,0.002536333,-2.116207357,train
S1CCC1,0.005002251,-1.880901748,train
S1CCC1,0.004132872,-1.946031626,train
S1CCC1,0.003520941,-2.015700764,train
S1CCC1,0.00306685,-2.090589611,train
S1CCC1,0.002716505,-2.171544111,train
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.003483714,-2.11904403,train
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.003174603,-2.185255493,train
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.002915877,-2.256163732,train
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.002696145,-2.332486312,train
[N+](=O)([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.002507208,-2.415118942,train
C[Si](C)(C)C,0.005744815,-1.851279182,train
C[Si](C)(C)C,0.004866121,-1.921809751,train
C[Si](C)(C)C,0.004220567,-1.997694933,train
C[Si](C)(C)C,0.003726234,-2.079814971,train
C[Si](C)(C)C,0.003335557,-2.16928704,train
CC(C)C(C)(C)C(C)C,0.005846927,-2.021604953,train
CC(C)C(C)(C)C(C)C,0.00431132,-2.113234382,train
CC(C)C(C)(C)C(C)C,0.003414543,-2.214114431,train
CC(C)C(C)(C)C(C)C,0.002826595,-2.326325069,train
CC(C)C(C)(C)C(C)C,0.002411382,-2.452737161,train
CC(C)(C)CC(C)(C)C,0.004832085,-2.104864381,train
CC(C)(C)CC(C)(C)C,0.003935884,-2.18703379,train
CC(C)(C)CC(C)(C)C,0.003320108,-2.276564387,train
CC(C)(C)CC(C)(C)C,0.002870944,-2.374906032,train
CC(C)(C)CC(C)(C)C,0.002528829,-2.483984195,train
CC(C)(C)C(C)C(C)C,0.006576351,-2.009849362,train
CC(C)(C)C(C)C(C)C,0.004638434,-2.105440279,train
CC(C)(C)C(C)C(C)C,0.003582688,-2.211144025,train
CC(C)(C)C(C)C(C)C,0.00291843,-2.329356162,train
CC(C)(C)C(C)C(C)C,0.002461963,-2.463439644,train
CC(C)(C)C(C)(C)CC,0.003798526,-2.15411733,train
CC(C)(C)C(C)(C)CC,0.003324413,-2.220448855,train
CC(C)(C)C(C)(C)CC,0.002955519,-2.291494917,train
CC(C)(C)C(C)(C)CC,0.002660317,-2.367977098,train
CC(C)(C)C(C)(C)CC,0.002418731,-2.45079686,train
CC(C)(C)CCC(C)(C)C,0.003838035,-2.217658087,train
CC(C)(C)CCC(C)(C)C,0.003354973,-2.28990236,train
CC(C)(C)CCC(C)(C)C,0.002979915,-2.367775026,train
CC(C)(C)CCC(C)(C)C,0.002680283,-2.452227982,train
CC(C)(C)CCC(C)(C)C,0.002435401,-2.54447667,train
CC(C)(C)C(C)(C)CCC,0.004563085,-2.103351193,train
CC(C)(C)C(C)(C)CCC,0.003666664,-2.18866444,train
CC(C)(C)C(C)(C)CCC,0.003064617,-2.281940663,train
CC(C)(C)C(C)(C)CCC,0.002632393,-2.384820728,train
CC(C)(C)C(C)(C)CCC,0.002307018,-2.49951195,train
CN(C)CCN(C)C,0.004586104,-1.911608708,train
CN(C)CCN(C)C,0.003815702,-1.991061648,train
CN(C)CCN(C)C,0.003266906,-2.077376396,train
CN(C)CCN(C)C,0.002856123,-2.17185126,train
CN(C)CCN(C)C,0.002537105,-2.276191781,train
c1(C)c(C)c(C)cc(C)c1,0.004008659,-1.990038667,train
c1(C)c(C)c(C)cc(C)c1,0.003279952,-2.072272262,train
c1(C)c(C)c(C)cc(C)c1,0.002775426,-2.161879075,train
c1(C)c(C)c(C)cc(C)c1,0.002405422,-2.260312695,train
c1(C)c(C)c(C)cc(C)c1,0.002122466,-2.369504045,train
c1(C)c(C)c(C)c(C)cc1,0.003746722,-1.999052531,train
c1(C)c(C)c(C)c(C)cc1,0.003127712,-2.077411284,train
c1(C)c(C)c(C)c(C)cc1,0.002684239,-2.162436269,train
c1(C)c(C)c(C)c(C)cc1,0.002350908,-2.25536788,train
c1(C)c(C)c(C)c(C)cc1,0.002091219,-2.357828917,train
CO[Si](OC)(OC)OC,0.003651634,-1.796503062,val
CO[Si](OC)(OC)OC,0.003292669,-1.848284171,val
CO[Si](OC)(OC)OC,0.002997961,-1.90289362,val
CO[Si](OC)(OC)OC,0.002751675,-1.960658473,val
CO[Si](OC)(OC)OC,0.002542782,-2.021965703,val
C1CCCc2ccccc21,0.004212655,-2.018109932,train
C1CCCc2ccccc21,0.003353145,-2.042955256,train
C1CCCc2ccccc21,0.002784934,-2.068433711,train
C1CCCc2ccccc21,0.002381392,-2.094578327,train
C1CCCc2ccccc21,0.002079997,-2.121424794,train
OCC1OCCC1,0.005181347,-1.763734853,train
OCC1OCCC1,0.003884249,-1.858519464,train
OCC1OCCC1,0.003106555,-1.963238064,train
OCC1OCCC1,0.002588327,-2.080219204,train
OCC1OCCC1,0.002218279,-2.212720623,train
C1COCC1,0.006073489,-1.875474938,train
C1COCC1,0.004801517,-1.948965081,train
C1COCC1,0.003970066,-2.028287393,train
C1COCC1,0.003384066,-2.114448145,train
C1COCC1,0.002948809,-2.208738529,train
CC(F)(F)CC(C)(F)F,0.003846154,-2.29801754,test
CC(F)(F)CC(C)(F)F,0.003354579,-2.386580042,test
CC(F)(F)CC(C)(F)F,0.00297442,-2.483754634,test
CC(F)(F)CC(C)(F)F,0.002671654,-2.591398739,test
CC(F)(F)CC(C)(F)F,0.00242483,-2.712043614,test
CC[Si](CC)(CC)CC,0.005245214,-1.892678529,train
CC[Si](CC)(CC)CC,0.004005969,-1.985699646,train
CC[Si](CC)(CC)CC,0.003240388,-2.088269595,train
CC[Si](CC)(CC)CC,0.002720478,-2.202575247,train
CC[Si](CC)(CC)CC,0.002344336,-2.331653515,train
NCCNCCNCCNCCN,0.004115226,-1.681315297,val
NCCNCCNCCNCCN,0.002995918,-1.787751572,val
NCCNCCNCCNCCN,0.002355296,-1.906880935,val
NCCNCCNCCNCCN,0.001940382,-2.042146065,val
NCCNCCNCCNCCN,0.001649757,-2.198612991,val
COCCOCCOCCOCCOC,0.00410762,-1.887882846,train
COCCOCCOCCOCCOC,0.00312671,-1.999134106,train
COCCOCCOCCOCCOC,0.002523978,-2.124329625,train
COCCOCCOCCOCCOC,0.002116066,-2.267472808,train
COCCOCCOCCOCCOC,0.00182166,-2.434584745,train
c1(CC)c(CC)c(CC)cc(CC)c1,0.003965893,-2.081467192,test
c1(CC)c(CC)c(CC)cc(CC)c1,0.003128789,-2.178585686,test
c1(CC)c(CC)c(CC)cc(CC)c1,0.002583479,-2.286160911,test
