smiles,Conductivity,temperature,splits,Conductivity_original,temperature,,mean,-2.099614069
C(Cl)(Cl)(Cl)C,-1.262047279,-0.441134331,train,-2.428063782,0.002753873,,,
C(Cl)(Cl)(Cl)C,-1.822457847,-0.809366284,train,-2.57391148,0.002363298,,,
C(Cl)(Cl)(Cl)C,-2.478792162,-1.086120774,train,-2.744723478,0.002069751,,,
c1(Cl)c(Cl)cc(Cl)cc1,-0.323482962,0.211863978,train,-2.183800999,0.003446493,,,
c1(Cl)c(Cl)cc(Cl)cc1,-0.51339888,-0.257595817,train,-2.233226904,0.002948548,,,
c1(Cl)c(Cl)cc(Cl)cc1,-0.713191859,-0.608526548,train,-2.285223329,0.002576324,,,
c1(Cl)c(Cl)cc(Cl)cc1,-0.923945905,-0.880786737,train,-2.340072388,0.002287544,,,
c1(Cl)c(Cl)cc(Cl)cc1,-1.146933873,-1.098163088,train,-2.398105344,0.002056978,,,
ClC(Cl)(Cl)C(=O)Cl,0.187409915,1.323281017,train,-2.050840355,0.004625347,,,
ClC(Cl)(Cl)C(=O)Cl,-0.084011324,0.589534246,train,-2.121478143,0.003847079,,,
ClC(Cl)(Cl)C(=O)Cl,-0.376072343,0.067145969,train,-2.197487465,0.003292994,,,
ClC(Cl)(Cl)C(=O)Cl,-0.692172435,-0.323709279,train,-2.279752992,0.002878423,,,
ClC(Cl)(Cl)C(=O)Cl,-1.036626652,-0.627156167,train,-2.369397723,0.002556564,,,
C[Ge](Cl)(Cl)Cl,-0.367241904,1.368110894,test,-2.19518933,0.004672897,,,
C[Ge](Cl)(Cl)Cl,-0.634996952,0.637604508,test,-2.264872986,0.003898066,,,
C[Ge](Cl)(Cl)Cl,-0.922817085,0.114897566,test,-2.339778611,0.003343643,,,
C[Ge](Cl)(Cl)Cl,-1.233954977,-0.277634913,test,-2.420752718,0.002927293,,,
C[Ge](Cl)(Cl)Cl,-1.572524541,-0.583235143,test,-2.508865959,0.00260315,,,
C(Cl)(Cl)(Cl)C=O,0.591040227,1.327319006,train,-1.945794956,0.00462963,,,
C(Cl)(Cl)(Cl)C=O,0.326655727,0.663935815,train,-2.014601422,0.003925995,,,
C(Cl)(Cl)(Cl)C=O,0.042726799,0.175597503,train,-2.088494355,0.003408026,,,
C(Cl)(Cl)(Cl)C=O,-0.263868488,-0.198904032,train,-2.168286242,0.003010801,,,
C(Cl)(Cl)(Cl)C=O,-0.597065526,-0.495217737,train,-2.255001275,0.002696508,,,
CCCCN(CCCC)CCCC,0.337146736,1.606836826,train,-2.011871121,0.004926108,,,
CCCCN(CCCC)CCCC,0.03890405,0.402914679,train,-2.089489231,0.003649136,,,
CCCCN(CCCC)CCCC,-0.284450466,-0.305326673,train,-2.173642733,0.002897921,,,
CCCCN(CCCC)CCCC,-0.637537655,-0.77175067,train,-2.265534208,0.002403196,,,
CCCCN(CCCC)CCCC,-1.02638423,-1.102143566,train,-2.366732117,0.002052756,,,
C=CCN(CC=C)CC=C,-0.27960515,1.676501796,train,-2.172381732,0.005,,,
C=CCN(CC=C)CC=C,-0.63778341,0.646579912,train,-2.265598166,0.003907586,,,
C=CCN(CC=C)CC=C,-1.032814475,-0.013997523,train,-2.368405598,0.003206927,,,
C=CCN(CC=C)CC=C,-1.473160888,-0.473700338,train,-2.483006418,0.002719331,,,
C=CCN(CC=C)CC=C,-1.970582769,-0.812061733,train,-2.612461215,0.002360439,,,
CCCCCN(CCCCC)CCCCC,-0.002604162,0.602662659,train,-2.100291806,0.003861004,,,
CCCCCN(CCCCC)CCCCC,-0.412544942,-0.121197969,train,-2.206979514,0.003093222,,,
CCCCCN(CCCCC)CCCCC,-0.871502916,-0.604923187,train,-2.326424021,0.002580146,,,
CCCCCN(CCCCC)CCCCC,-1.392812602,-0.951007012,train,-2.462095655,0.002213063,,,
CCCCCN(CCCCC)CCCCC,-1.996119297,-1.210880767,train,-2.619107135,0.001937421,,,
c1(C)c(N)cccc1,1.395186347,0.741719188,val,-1.736514712,0.004008498,,,
c1(C)c(N)cccc1,1.087653264,0.048851985,val,-1.816550662,0.00327359,,,
c1(C)c(N)cccc1,0.753348229,-0.429319231,val,-1.903554053,0.002766405,,,
c1(C)c(N)cccc1,0.387161708,-0.779198746,val,-1.998854649,0.002395296,,,
c1(C)c(N)cccc1,-0.017634411,-1.046310334,val,-2.104203451,0.002111977,,,
c1(C)cc(N)ccc1,1.311581992,0.859985212,val,-1.758272872,0.00413394,,,
c1(C)cc(N)ccc1,1.002008121,0.099374455,val,-1.83883994,0.003327178,,,
c1(C)cc(N)ccc1,0.66528989,-0.412837298,val,-1.926471369,0.002783887,,,
c1(C)cc(N)ccc1,0.296205575,-0.781253095,val,-2.02252612,0.002393117,,,
c1(C)cc(N)ccc1,-0.112135183,-1.058971121,val,-2.12879742,0.002098548,,,
c1(CS)ccccc1,0.893753887,0.827233475,train,-1.867013268,0.004099201,,,
c1(CS)ccccc1,0.600636198,0.095048914,train,-1.94329759,0.00332259,,,
c1(CS)ccccc1,0.283297862,-0.403893007,train,-2.025885372,0.002793374,,,
c1(CS)ccccc1,-0.062627383,-0.76573187,train,-2.11591294,0.00240958,,,
c1(CS)ccccc1,-0.442804459,-1.040152001,train,-2.214854599,0.002118509,,,
c1(C)c(N=C=O)cccc1(N=C=O),0.130852634,0.197370399,train,-2.065559473,0.00343112,,,
c1(C)c(N=C=O)cccc1(N=C=O),-0.175614011,-0.336731157,train,-2.145317881,0.002864611,,,
c1(C)c(N=C=O)cccc1(N=C=O),-0.508659111,-0.719455746,train,-2.231993372,0.002458664,,,
c1(C)c(N=C=O)cccc1(N=C=O),-0.873334283,-1.007172107,train,-2.326900637,0.00215349,,,
c1(C)c(N=C=O)cccc1(N=C=O),-1.276284041,-1.23135072,train,-2.431768921,0.001915709,,,
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.751426196,0.24706981,train,-1.904054265,0.003483835,,,
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.418450352,-0.315128907,train,-1.990711732,0.002887524,,,
C1=CC(=C(C=C1N=C=O)N=C=O)C,0.053858219,-0.712997604,train,-2.085597386,0.002465514,,,
C1=CC(=C(C=C1N=C=O)N=C=O)C,-0.348990141,-1.009399931,train,-2.190439281,0.002151127,,,
C1=CC(=C(C=C1N=C=O)N=C=O)C,-0.799074511,-1.238759199,train,-2.307574419,0.001907851,,,
