SMILES,lnA,EaR
CC(C)C(=O)OC(=O)C(C)C,23.84038387,-5659.60428
CC(C)C(=O)OCC(C)(C)C(C(C)(C))OC(=O)C(C)(C),24.74318767,-7369.015615
CC=CCOC(=O)C,23.40334123,-4853.199236
C=CC(C)OC(=O)C,23.17513283,-4542.627964
C(C)(C)(C)C(=O)OCC,23.11957945,-4609.688428
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,31.1940956,-13425.0073
C=CCOC(=O)C=C,23.53088464,-4815.185215
c1(CCCC)cccc2ccccc21,23.67806278,-6929.362806
c1(CCCCCC)cccc2ccccc21,24.21788451,-7663.447906
c1cccc2c1(C(CCCCCC)CCC2),24.29169175,-7500.768837
c1cccc2c1(c(CCC)ccc2),23.16596923,-6421.304894
c1cccc2c1(cc(CC)cc2),22.9974465,-6147.944059
C1=CC=C2C(=C1)C=CC2C,22.57670891,-5252.718951
C1=CC=C2C(=C1)C=C(C2)C,22.69113905,-5390.684723
C1C=C(C)C2C(C3)C(C)=CC3C21,23.11984397,-5554.764712
c1ccccc1/C=Cc2ccccc2,23.35419122,-6624.184894
c1(CC=C2)c2cccc1,22.48233294,-5024.963328
C1(CC2C=CC1C2)C=C,22.15131729,-4443.772378
C1C2CC3(CC1CC(C2)(C3)C)C,22.19337305,-5121.250951
C1CC2CC1C(=C2)C,21.93654812,-4097.573512
C1C(C2C=CC1C2)CC,22.18688133,-4487.752777
C1=CC2=C(C=C1)CCC2,22.65282592,-5068.60076
CC(C)C1=CC=C(CC1)C,22.77359524,-5092.245107
CC(C)C1=CCC(=CC1)C,22.86926393,-5241.856506
C1C(C2C=CC1C2)=CC,22.66173532,-4739.559304
CCC(C1CCCCC1)C,22.94018239,-5246.826982
C1C(C)c2ccccc2CC1,23.24107321,-5874.189236
C1C(CC)c2ccccc2CC1,23.38040202,-6166.867652
C1C(C2(C)(C))CC2C(C)=C1,22.12988713,-4626.673441
C1C(=C)C(C2)C(C)(C)C2C1,22.43454177,-4847.994449
CC(=O)CC(O)C,24.23524828,-5781.446421
CCOC(C)CO,24.12791914,-5273.962806
c1(O)c(OC)cc(CC=C)cc1,23.98340689,-6639.947474
COCCOCCOCCOCCOCCO,26.71100678,-9338.967729
O=S(=O)=O,23.6411238,-3768.746652
BrBr,22.18178019,-3533.249639
CCC=O,22.66904697,-3618.644273
