smiles,temperature,lnA,vapor_pressure,splits,vapor_pressure_unnormed,temperature_unnormed,lnA_unnormed,,mean,8.580092891
C=CCCCCCCCCCCCCC,-1.079488334,2.14517593967111,0.783411739,train,14.26224556,0.001412429,24.13923834,,,
C=CCCCCCCCCCCCCCC,0.682785988,2.17315159743259,-1.694413087,train,-3.709630851,0.003603474,24.34214819,,,
C=CCCCCCCCCCCCCCC,-0.145931627,2.17315159743259,-0.406592254,train,5.631044333,0.002573125,24.34214819,,,
C=CCCCCCCCCCCCCCC,-0.606112244,2.17315159743259,0.20652391,train,10.07802856,0.00200098,24.34214819,,,
C=CCCCCCCCCCCCCCC,-0.898873001,2.17315159743259,0.546332185,train,12.54268718,0.001636989,24.34214819,,,
C=CCCCCCCCCCCCCCC,-1.101515908,2.17315159743259,0.775824512,train,14.20721475,0.001385042,24.34214819,,,
C=CCCCCCCCCCCCCCCCC,0.550709819,2.23312426886353,-1.831649835,train,-4.705020777,0.003439263,24.77713513,,,
C=CCCCCCCCCCCCCCCCC,-0.229914217,2.23312426886353,-0.465667392,train,5.202567277,0.002468709,24.77713513,,,
C=CCCCCCCCCCCCCCCCC,-0.666923535,2.23312426886353,0.175953501,train,9.856298758,0.001925373,24.77713513,,,
C=CCCCCCCCCCCCCCCCC,-0.946270853,2.23312426886353,0.52537856,train,12.39070874,0.001578059,24.77713513,,,
C=CCCCCCCCCCCCCCCCC,-1.140238497,2.23312426886353,0.761282678,train,14.10174158,0.001336898,24.77713513,,,
C=CCCCC(C)C,2.572029928,1.95406133255412,-1.926184674,train,-5.390690087,0.005952381,22.75306767,,,
C=CCCCC(C)C,0.813891357,1.95406133255412,-0.339427332,train,6.118197284,0.003766478,22.75306767,,,
C=CCCCC(C)C,0.000207862,1.95406133255412,0.308577465,train,10.81823176,0.002754821,22.75306767,,,
C=CCCCC(C)C,-0.46891907,1.95406133255412,0.641966427,train,13.23633056,0.002171553,22.75306767,,,
C=CCCCC(C)C,-0.774103968,1.95406133255412,0.853918061,train,14.77363397,0.001792115,22.75306767,,,
C1=CCCC1,3.607315471,1.87667535442484,-1.78371892,train,-4.357373728,0.007239557,22.19178052,,,
C1=CCCC1,1.276198564,1.87667535442484,-0.177974337,train,7.289229727,0.004341267,22.19178052,,,
C1=CCCC1,0.277958629,1.87667535442484,0.428996566,train,11.69164185,0.00310015,22.19178052,,,
C1=CCCC1,-0.276408831,1.87667535442484,0.740462099,train,13.95072813,0.002410902,22.19178052,,,
C1=CCCC1,-0.629109814,1.87667535442484,0.938056497,train,15.38389728,0.001972387,22.19178052,,,
C1=CCCCC1,2.524907954,1.87905716268418,-1.495315059,train,-2.265555737,0.005893794,22.20905598,,,
C1=CCCCC1,0.792900535,1.87905716268418,-0.110433465,train,7.779109477,0.00374038,22.20905598,,,
C1=CCCCC1,-0.012144696,1.87905716268418,0.442211903,train,11.78749383,0.002739463,22.20905598,,,
C1=CCCCC1,-0.4772895,1.87905716268418,0.733629091,train,13.90116773,0.002161146,22.20905598,,,
C1=CCCCC1,-0.780277029,1.87905716268418,0.925847007,train,15.2953408,0.00178444,22.20905598,,,
C/C=C/CCCCCCCCCCCCCCCCC,0.606616442,2.28049557713079,-1.9377232,train,-5.474380007,0.003508772,25.1207233,,,
C/C=C/CCCCCCCCCCCCCCCCC,-0.200717044,2.28049557713079,-0.54373222,train,4.636356368,0.00250501,25.1207233,,,
C/C=C/CCCCCCCCCCCCCCCCC,-0.648886131,2.28049557713079,0.128540913,train,9.512411182,0.001947799,25.1207233,,,
C/C=C/CCCCCCCCCCCCCCCCC,-0.933954489,2.28049557713079,0.50324538,train,12.23017488,0.001593372,25.1207233,,,
C/C=C/CCCCCCCCCCCCCCCCC,-1.131251163,2.28049557713079,0.749045253,train,14.01298249,0.001348072,25.1207233,,,
C/C=C/CCCCCCCCCCCC,0.842687985,2.1511264716724,-1.696305169,train,-3.72335428,0.003802281,24.18239806,,,
C/C=C/CCCCCCCCCCCC,-0.05716984,2.1511264716724,-0.405027058,train,5.642396829,0.002683483,24.18239806,,,
C/C=C/CCCCCCCCCCCC,-0.547865891,2.1511264716724,0.212648918,train,10.12245377,0.002073398,24.18239806,,,
C/C=C/CCCCCCCCCCCC,-0.856773124,2.1511264716724,0.557194195,train,12.62147027,0.001689332,24.18239806,,,
C/C=C/CCCCCCCCCCCC,-1.069124829,2.1511264716724,0.783875914,train,14.26561227,0.001425314,24.18239806,,,
C1=CCCCCC1,1.488411124,1.8878589086609,-0.879704139,train,2.199523168,0.004605112,22.2728958,,,
C1=CCCCCC1,0.35940202,1.8878589086609,0.030865748,train,8.803964813,0.003201409,22.2728958,,,
C1=CCCCCC1,-0.242117978,1.8878589086609,0.478712037,train,12.05223243,0.002453536,22.2728958,,,
C1=CCCCCC1,-0.615818629,1.8878589086609,0.74092501,train,13.95408566,0.001988912,22.2728958,,,
C1=CCCCCC1,-0.870519547,1.8878589086609,0.913487652,train,15.20569733,0.001672241,22.2728958,,,
C1=CCCCCCC1,1.540298621,1.91167927717789,-1.170406554,train,0.091033566,0.004669624,22.44566698,,,
C1=CCCCCCC1,0.308891498,1.91167927717789,-0.08032267,train,7.997505663,0.003138609,22.44566698,,,
C1=CCCCCCC1,-0.314416391,1.91167927717789,0.430161851,train,11.70009376,0.002363647,22.44566698,,,
C1=CCCCCCC1,-0.690870188,1.91167927717789,0.716931537,train,13.78005894,0.0018956,22.44566698,,,
C1=CCCCCCC1,-0.942877479,1.91167927717789,0.901518653,train,15.11888516,0.001582278,22.44566698,,,
C/C=CCCCCC,2.435005659,1.94854504468362,-1.927111737,train,-5.397414154,0.005782018,22.71305756,,,
C/C=CCCCCC,0.733771856,1.94854504468362,-0.335969323,train,6.143278517,0.003666865,22.71305756,,,
