smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
C1CC=CC=C1,-3.400276787,0.879978219,-0.886940525,0.002856735,train,-1.128247094,-4.330159055,1.121064789,,,,,,,,,,,
C1CC=CC=C1,-3.400276787,0.879978219,-0.918872523,0.002819681,train,-1.168927463,-4.330159055,1.121064789,,,,,,,,,,,
C1CC=CC=C1,-3.400276787,0.879978219,-0.593310717,0.003190301,train,-0.754171882,-4.330159055,1.121064789,,,,,,,,,,,
Clc1cccc(Cl)c1,-2.931244159,0.878642008,-0.960106387,0.002244921,train,-1.221458119,-3.732626125,1.119362497,,,,,,,,,,,
Clc1cccc(Cl)c1,-2.931244159,0.878642008,-0.661974335,0.002581645,train,-0.841647189,-3.732626125,1.119362497,,,,,,,,,,,
Clc1cccc(Cl)c1,-2.931244159,0.878642008,-0.40952496,0.002867384,train,-0.520034563,-3.732626125,1.119362497,,,,,,,,,,,
Clc1cccc(Cl)c1,-2.931244159,0.878642008,-0.77710804,0.002451281,train,-0.988323935,-3.732626125,1.119362497,,,,,,,,,,,
Clc1cccc(Cl)c1,-2.931244159,0.878642008,-0.827401995,0.002395496,train,-1.052396865,-3.732626125,1.119362497,,,,,,,,,,,
Fc1cccc(F)c1,-3.107105168,0.783663713,-0.436659697,0.003411223,train,-0.554603371,-3.956667562,0.998363114,,,,,,,,,,,
Fc1cccc(F)c1,-3.107105168,0.783663713,-0.763725534,0.003001651,train,-0.97127504,-3.956667562,0.998363114,,,,,,,,,,,
Fc1cccc(F)c1,-3.107105168,0.783663713,-0.690534557,0.003094538,train,-0.87803202,-3.956667562,0.998363114,,,,,,,,,,,
Fc1cccc(F)c1,-3.107105168,0.783663713,-0.609155182,0.003173092,train,-0.774357236,-3.956667562,0.998363114,,,,,,,,,,,
Fc1cccc(F)c1,-3.107105168,0.783663713,-0.526486649,0.003298697,train,-0.669040105,-3.956667562,0.998363114,,,,,,,,,,,
COc1cccc(OC)c1,-3.595550772,1.230304944,-1.052094189,0.002061218,train,-1.338647708,-4.578932018,1.567370103,,,,,,,,,,,
COc1cccc(OC)c1,-3.595550772,1.230304944,-0.474028599,0.002543558,train,-0.602210186,-4.578932018,1.567370103,,,,,,,,,,,
COc1cccc(OC)c1,-3.595550772,1.230304944,-0.878496245,0.002206775,train,-1.117489344,-4.578932018,1.567370103,,,,,,,,,,,
COc1cccc(OC)c1,-3.595550772,1.230304944,-0.820685338,0.002255554,train,-1.043840053,-4.578932018,1.567370103,,,,,,,,,,,
COc1cccc(OC)c1,-3.595550772,1.230304944,-0.312055389,0.002677735,train,-0.395861372,-4.578932018,1.567370103,,,,,,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.776000021,-0.330700565,0.0019994,train,-0.419614744,-4.956622678,2.262568601,,,,,,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.776000021,1.001959197,0.002679887,train,1.278152203,-4.956622678,2.262568601,,,,,,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.776000021,-0.209751389,0.002091394,train,-0.265529268,-4.956622678,2.262568601,,,,,,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.776000021,-0.040761337,0.002216558,train,-0.050241216,-4.956622678,2.262568601,,,,,,,,,,,
[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-3.892018521,1.776000021,0.397918495,0.002483547,train,0.5086232,-4.956622678,2.262568601,,,,,,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,0.904529883,-0.552822878,0.002670584,train,-0.702591639,-3.778181704,1.152342842,,,,,,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,0.904529883,-0.877057731,0.002309736,train,-1.115656723,-3.778181704,1.152342842,,,,,,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,0.904529883,-0.420561092,0.002818092,train,-0.534094251,-3.778181704,1.152342842,,,,,,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,0.904529883,-0.935468249,0.002244921,train,-1.190069899,-3.778181704,1.152342842,,,,,,,,,,,
Clc1ccc(Cl)cc1,-2.967002947,0.904529883,-0.724303068,0.002480466,train,-0.921052049,-3.778181704,1.152342842,,,,,,,,,,,
Fc1ccc(F)cc1,-3.134911296,0.81634586,-0.352864437,0.003411223,train,-0.447850825,-3.992091701,1.039999149,,,,,,,,,,,
Fc1ccc(F)cc1,-3.134911296,0.81634586,-0.616855012,0.003094538,train,-0.784166579,-3.992091701,1.039999149,,,,,,,,,,,
Fc1ccc(F)cc1,-3.134911296,0.81634586,-0.445318064,0.003298697,train,-0.56563386,-3.992091701,1.039999149,,,,,,,,,,,
Fc1ccc(F)cc1,-3.134911296,0.81634586,-0.533722669,0.003173092,train,-0.678258568,-3.992091701,1.039999149,,,,,,,,,,,
Fc1ccc(F)cc1,-3.134911296,0.81634586,-0.694510906,0.003001651,train,-0.883097765,-3.992091701,1.039999149,,,,,,,,,,,
COc1ccc(OC)cc1,-3.493169359,1.181538901,-0.640418329,0.002411091,train,-0.814185509,-4.448501292,1.505243686,,,,,,,,,,,
COc1ccc(OC)cc1,-3.493169359,1.181538901,-0.885486468,0.002205315,train,-1.12639467,-4.448501292,1.505243686,,,,,,,,,,,
COc1ccc(OC)cc1,-3.493169359,1.181538901,-0.940126711,0.002159128,train,-1.196004635,-4.448501292,1.505243686,,,,,,,,,,,
