original_smiles,augmented_smiles
Cc1ccccc1Oc1cnc2[nH]cc(C(=O)NC(C)C)c2n1,ccc(Oc1cnc2ncc(C(N)=O)c2n1)c(c)C
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1OC,ccc(cc)-c1nc2ncc(Cl)c(NCC3CCNCC3)c2n1
NCCCn1c(CCN)nc2cc(C(N)=O)ccc21,NCCCn1c(CCN)nc2ccccc21
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,CNCCOc1cccc(NC2=C(c3cnc4ccccc34)C(=O)NC2=O)c1
CC(C)(C)OC(=O)N1CCc2ccc(Nc3nc4c(-c5cccc6c5OC(F)(F)O6)cccn4n3)cc2CC1,CN1CCc2ccc(Nc3nc4c(-c5cccc6c5OC(F)(F)O6)cccn4n3)cc2CC1
COc1ccccc1-c1cccn2nc(N)nc12,COc1ccccc1-c1cccnc1n
CS(=O)(=O)c1cccc(-c2cccn3nc(N)nc23)c1,ccc(-c1cccc(S(C)(=O)=O)c1)c(n)n
Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,cc(cF)C(=O)n1nc(Nc2ccc(C(=O)O)cc2)nc1N
Cc1cccc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,ccc(cc)-c1cccc2nc(Nc3cccc(C)c3)nn12
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(C)(CC#N)C2)C1,CC(C)S(=O)(=O)NC1CC(N(C)c2ncnc3nccc23)C1
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4cccnc4)nc23)cc1,CCCNc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,ccc(cn)Nc1nc(NC2CCCCC2N)cc2ncnc(=O)c12
O=c1[nH]c2cnc(-n3cnc4cc(C(F)(F)F)ccc43)nc2n1C1CCOCC1,CCC(C)n1c(=O)nc2cnc(-n3cnc4cc(C)ccc43)nc21
CC(C)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,CC(C)COc1ccccc1-c1cccn2nc(Nc3ccccc3)nc12
O=C(Nc1nc2cccc(-c3ccc(N4CCOCC4)cc3)n2n1)C1CC1,Nc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1
CN(c1ccnc2[nH]ccc12)C1CCCCC1,cc1cnccc1N(C)C(CC)CC
NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-n2nccn2)c1,CCC(Nc1ncc(C(N)=O)c(Nc2cccc(N)c2)n1)C(C)N
O=C1CCC=CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)N1,ccc(cc)-c1ccnc(Nc2cccc(NC(=O)CC)c2)n1
